data_3.csv_zigbee:19_zd_WHr_I,LOCAL 120 SUNTIME,809010503286837
data_3.csv_zigbee:42_zd_WHr_I,LOCAL 101B,382961957244554	
data_3.csv_zigbee:47_zd_WHr_I,LOCAL 306-307 KFC,368944276326380
data_3.csv_zigbee:30_zd_WHr_I,LOCAL 208 CASA IDEAS,.
data_3.csv_zigbee:14_zd_WHr_I,LOCAL 125 ADIDAS,730604977986531
data_3.csv_zigbee:4_zd_WHr_I,LOCAL 115 LA EMPAPADA,843678272397693
data_3.csv_zigbee:35_zd_WHr_I,LOCAL 202,791874624776655
data_3.csv_zigbee:26_zd_WHr_I,LOCAL 212,.
data_3.csv_zigbee:51_zd_WHr_I,LOCAL 310-311 PIZZA HUT,259159536856297
data_3.csv_zigbee:28_zd_WHr_I,LOCAL 210 CASA IDEAS,.
data_3.csv_zigbee:23_zd_WHr_I,LOCAL 103 BE SIFRAH,735182978641378
data_3.csv_zigbee:38_zd_WHr_I,LOCAL 304-305,.
data_3.csv_zigbee:33_zd_WHr_I,LOCAL 204,573652195092661
data_3.csv_zigbee:40_zd_WHr_I,RESERVA EQUIPADA LCE41,.
data_3.csv_zigbee:2_zd_WHr_I,LOCAL 117,558514901302876
data_3.csv_zigbee:37_zd_WHr_I,RESERVA EQUIPADA LCE38,.
data_3.csv_zigbee:1_zd_WHr_I,LOCAL 118 SUNTIME,40661316400158
data_3.csv_zigbee:17_zd_WHr_I,LOCAL 122 TODO MODA,282329000269186
data_3.csv_zigbee:7_zd_WHr_I,LOCAL 112 MINISO,838801505220759
data_3.csv_zigbee:41_zd_WHr_I,LOCAL 301-302,778116972188453
data_3.csv_zigbee:31_zd_WHr_I,RESERVA EQUIPADA LCE31,.
data_3.csv_zigbee:11_zd_WHr_I,LOCAL 108A MAYLIN,401177734746005
data_3.csv_zigbee:44_zd_WHr_I,LOCAL 313 SMARTFIT,621142403014267
data_3.csv_zigbee:34_zd_WHr_I,LOCAL 203,987848762436274
data_3.csv_zigbee:24_zd_WHr_I,LOCAL 102 COOLBOX,176477322135499
data_3.csv_zigbee:21_zd_WHr_I,LOCAL 105 AZALEIA,300569076423736
data_3.csv_zigbee:50_zd_WHr_I,RESERVA EQUIPADA LCE51,.
data_3.csv_zigbee:27_zd_WHr_I,LOCAL 211 CASA IDEAS,.
data_3.csv_zigbee:8_zd_WHr_I,LOCAL 111 MINISO,798095322637657
data_3.csv_zigbee:22_zd_WHr_I,LOCAL 104,537993829986603
data_3.csv_zigbee:3_zd_WHr_I,LOCAL 116 LA EMPAPADA,445825469710863
data_3.csv_zigbee:48_zd_WHr_I,RESERVA EQUIPADA LCE49,.
data_3.csv_zigbee:39_zd_WHr_I,LOCAL 303,911924243667748
data_3.csv_zigbee:10_zd_WHr_I,LOCAL 109,976484603065030
data_3.csv_zigbee:46_zd_WHr_I,LOCAL 312,148519400876167
data_3.csv_zigbee:18_zd_WHr_I,LOCAL 121 ISADORA,708036731272765
data_3.csv_zigbee:36_zd_WHr_I,LOCAL 201,639138645191940
data_3.csv_zigbee:53_zd_WHr_I,LOCAL 205 ARGENPER,952606725425051
data_3.csv_zigbee:25_zd_WHr_I,LOCAL 101A STARBUCKS,180985220454622
data_3.csv_zigbee:43_zd_WHr_I,LOCAL 108B,701110642055468
data_3.csv_zigbee:5_zd_WHr_I,LOCAL 114,473372597723034
data_3.csv_zigbee:15_zd_WHr_I,LOCAL 124,31324193220849
data_3.csv_zigbee:32_zd_WHr_I,LOCAL 206 DOLLARCITY,22005299382371
data_3.csv_zigbee:6_zd_WHr_I,LOCAL 113 MINISO,946606425236028
data_3.csv_zigbee:29_zd_WHr_I,LOCAL 209 CASA IDEAS,.
data_3.csv_zigbee:12_zd_WHr_I,LOCAL 107,177469158438333
data_3.csv_zigbee:52_zd_WHr_I,RESERVA EQUIPADA LCE53,.
data_3.csv_zigbee:49_zd_WHr_I,LOCAL 308-309 KFC,851961474681682
data_3.csv_zigbee:16_zd_WHr_I,LOCAL 123 ADIDAS,602607705447846
data_3.csv_zigbee:20_zd_WHr_I,LOCAL 119 SUNTIME,986153495564406
data_3.csv_zigbee:45_zd_WHr_I,LOCAL 126,907703433163733
data_3.csv_zigbee:13_zd_WHr_I,LOCAL 106 CALIMOD,985928595368156
data_3.csv_zigbee:9_zd_WHr_I,LOCAL 110,616769686065447
data_1.csv_zigbee:19_zd_WHr_I,LOCAL 115 LA EMPAPADA,722308901759770
data_1.csv_zigbee:30_zd_WHr_I,RESERVA EQUIPADA LCN30,.
data_1.csv_zigbee:27_zd_WHr_I,LOCAL 210 CASA IDEAS,.
data_1.csv_zigbee:14_zd_WHr_I,LOCAL 124 ADIDAS,723869689080073
data_1.csv_zigbee:63_zd_WHr_I,LOCAL 103 BE SIFRAH,952513667615231
data_1.csv_zigbee:22_zd_WHr_I,LOCAL 107,943394216115193
data_1.csv_zigbee:3_zd_WHr_I,LOCAL  109,844089018975547
data_1.csv_zigbee:4_zd_WHr_I,LOCAL 111 MINISO,5819164598021
data_1.csv_zigbee:26_zd_WHr_I,LOCAL 102 COOLBOX,524354308009691
data_1.csv_zigbee:67_zd_WHr_I,LOCAL 122 TODO MODA,985512598979614
data_1.csv_zigbee:10_zd_WHr_I,LOCAL 114 TOPI TOP,706560843117942
data_1.csv_zigbee:28_zd_WHr_I,LOCAL 211 CASA IDEAS,.
data_1.csv_zigbee:23_zd_WHr_I,LOCAL 120 SUNTIME,46588688365950
data_1.csv_zigbee:66_zd_WHr_I,LOCAL 206 DOLLARCITY,143004408391905
data_1.csv_zigbee:18_zd_WHr_I,LOCAL 117,843048149864683
data_1.csv_zigbee:33_zd_WHr_I,LOCAL 204,987820867103638
data_1.csv_zigbee:25_zd_WHr_I,LOCAL 104 ALMACEN SERMITECH,770799840978788
data_1.csv_zigbee:71_zd_WHr_I,RESERVA EQUIPADA LCN25,.
data_1.csv_zigbee:69_zd_WHr_I,LOCAL 105 AZALEIA,322270759063182
data_1.csv_zigbee:15_zd_WHr_I,LOCAL 112 MINISO,603619603655634
data_1.csv_zigbee:32_zd_WHr_I,LOCAL 126,802910036211745
data_1.csv_zigbee:6_zd_WHr_I,LOCAL 118 SUNTIME,978574761137336
data_1.csv_zigbee:29_zd_WHr_I,LOCAL 209 CASA IDEAS,.
data_1.csv_zigbee:12_zd_WHr_I,LOCAL 123 ADIDAS,303223109446319
data_1.csv_zigbee:65_zd_WHr_I,LOCAL 121 ISADORA,649128039000711
data_1.csv_zigbee:1_zd_WHr_I,LOCAL 113 MINISO,531564464931796
data_1.csv_zigbee:20_zd_WHr_I,LOCAL 110 PORTEÃ‘OS,64822741699669
data_1.csv_zigbee:17_zd_WHr_I,LOCAL 116 LA EMPAPADA,671049749365066
data_1.csv_zigbee:73_zd_WHr_I,LOCAL 212 CASA IDEAS,.
data_1.csv_zigbee:13_zd_WHr_I,LOCAL 125 ADIDAS,587428340019631
data_1.csv_modbus:1_mb_WHr_I,TG2- MEDICION GENERAL,.
data_1.csv_zigbee:68_zd_WHr_I,LOCAL 106 CALIMOD,249708457989651
data_1.csv_zigbee:9_zd_WHr_I,LOCAL 205 ARGENPER,795691965991443
data_1.csv_zigbee:24_zd_WHr_I,LOCAL 119 SUNTIME,530332010486196
data_1.csv_zigbee:21_zd_WHr_I,LOCAL 108 MAYLIN,251648408130744
data_2.csv_zigbee:19_zd_WHr_I,LOCAL 108B,869617193075069
data_2.csv_zigbee:30_zd_WHr_I,LOCAL 208 CASA IDEAS,602496029605727
data_2.csv_zigbee:27_zd_WHr_I,LOCAL M204,842615102024283
data_2.csv_zigbee:8_zd_WHr_I,LOCAL 202,251489306782589
data_2.csv_zigbee:14_zd_WHr_I,PISO 3 SECTOR 1B M308,394857934061924
data_2.csv_zigbee:22_zd_WHr_I,LOCAL M103,505414884951205
data_2.csv_zigbee:3_zd_WHr_I,TABLERO DE DAMPERS,.
data_2.csv_zigbee:4_zd_WHr_I,LOCAL 301,665003511841006
data_2.csv_zigbee:26_zd_WHr_I,LOCAL M203,595773024461625
data_2.csv_zigbee:10_zd_WHr_I,RESERVA EQUIPADA LCN39,.
data_2.csv_zigbee:28_zd_WHr_I,PISO 3 SECTOR 1B M306,625900755793801
data_2.csv_zigbee:23_zd_WHr_I,LOCAL M104,637957823923257
data_2.csv_zigbee:18_zd_WHr_I,LOCAL M106,893845917793809
data_2.csv_zigbee:33_zd_WHr_I,LOCAL 306-307 KFC,822148592343810
data_2.csv_zigbee:25_zd_WHr_I,LOCAL M202,251489306782589
data_2.csv_zigbee:5_zd_WHr_I,LOCAL 101B,581605201650169
data_2.csv_zigbee:2_zd_WHr_I,PISO 3 SECTOR 1B M307,875676979462036
data_2.csv_zigbee:15_zd_WHr_I,PISO 2 SECTOR 1B M303,723962888989905
data_2.csv_zigbee:32_zd_WHr_I,LOCAL 308 KFC,65545375520861
data_2.csv_zigbee:6_zd_WHr_I,LOCAL 303 ,36619705881581
data_2.csv_zigbee:29_zd_WHr_I,PISO 3 SECTOR 1B M305,589683872408150
data_2.csv_zigbee:12_zd_WHr_I,LOCAL 304-305,663724002498357
data_2.csv_zigbee:1_zd_WHr_I,PISO 3 SECTOR 1B M302,337627331261608
data_2.csv_zigbee:16_zd_WHr_I,PISO 3 SECTOR 1B M304,679896372351996
data_2.csv_zigbee:20_zd_WHr_I,MODULO M101,581249158224008	
data_2.csv_zigbee:17_zd_WHr_I,LOCAL M105,923321670582190	
data_2.csv_zigbee:7_zd_WHr_I,LOCAL 203,744899947809308
data_2.csv_zigbee:13_zd_WHr_I,LOCAL 312,732336322420386	
data_2.csv_zigbee:31_zd_WHr_I,LOCAL 310 PIZZA HUT,502477914127655	
data_2.csv_modbus:1_mb_WHr_I,LOCAL 313 SMARTFIT,156003169091211
data_2.csv_zigbee:11_zd_WHr_I,LOCAL 101A STARBUCKS,551599847836764
data_2.csv_zigbee:9_zd_WHr_I,PISO 3 SECTOR 1B M301,953875223880666
data_2.csv_zigbee:34_zd_WHr_I,LOCAL 201,881626283988844
data_2.csv_zigbee:24_zd_WHr_I,LOCAL M201,743517127810913
data_2.csv_zigbee:21_zd_WHr_I,MODULO M102,843360911270229	
